,Area_of_Origin,Business_Impact,Civilian_Casualties,Count_of_Persons_Rescued,Estimated_Dollar_Loss,Estimated_Number_Of_Persons_Displaced,Ext_agent_app_or_defer_time,Extent_Of_Fire,Fire_Alarm_System_Impact_on_Evacuation,Fire_Alarm_System_Operation,Fire_Under_Control_Time,Ignition_Source,Incident_Station_Area,Incident_Ward,Last_TFS_Unit_Clear_Time,lat,long,Material_First_Ignited,Method_Of_Fire_Control,Possible_Cause,Property_Use,Smoke_Alarm_at_Fire_Origin_Alarm_Failure,Smoke_Alarm_at_Fire_Origin_Alarm_Type,Status_of_Fire_On_Arrival,TFS_Alarm_Time,TFS_Arrival_Time,Fire_Alarm_System_Presence_(Refactored)
453,Cooking Area or Kitchen,May resume operations within a week,0,0,5000,0,2018-04-10T19:41:50,Confined to object of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-04-10T19:41:48,Oven,344,12.0,2018-04-10T20:04:24,43.67848466,-79.41026175,"Cooking Oil, Grease",Extinguished by automatic system,"Other unintentional cause, not classified",Museum,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire extinguished prior to arrival,2018-04-10T19:38:00,2018-04-10T19:41:47,Present
454,"Trash, rubbish area (outside)",Not applicable (not a business),0,0,5000,0,2018-04-10T21:48:20,Undetermined,Undetermined,Fire alarm system operation undetermined,2018-04-10T21:54:40,Undetermined,225,20.0,2018-04-10T22:14:44,43.70568507,-79.2664532,"Rubbish, Trash, Waste",Extinguished by fire department,Undetermined,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-04-10T21:40:49,2018-04-10T21:45:42,Undetermined
455,"Process Manufacturing (inc manf, prod assembly, repair)",No business interruption,0,0,0,0,2018-04-11T08:41:48,Confined to object of origin,Undetermined,Fire alarm system operated,2018-04-11T08:41:48,Undetermined,442,5.0,2018-04-11T08:53:22,43.69471045,-79.50637968,Undetermined (formerly 98),Action taken unclassified,Mechanical Failure,"Mfg: Pulp, Paper Processing",Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,Fire extinguished prior to arrival,2018-04-11T08:28:30,2018-04-11T08:32:54,Present
456,"Hallway, Corridor",Not applicable (not a business),0,0,100,0,2018-04-11T21:41:00,Confined to object of origin,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-04-11T21:41:00,Undetermined,333,10.0,2018-04-12T00:51:22,43.64763714,-79.37150339,Undetermined (formerly 98),Fire self extinguished,Suspected Arson,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire extinguished prior to arrival,2018-04-11T21:36:49,2018-04-11T21:40:08,Present
457,Other Outside Area,No business interruption,0,0,1000,0,2018-01-24T22:26:20,Confined to object of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-01-24T22:27:21,Other Open Flame Tools/Smokers' Articles,315,11.0,2018-01-24T23:07:04,43.66269922,-79.40386716,"Rubbish, Trash, Waste",Extinguished by fire department,Improperly Discarded,Restaurant (occupant load less than 30 persons),Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,"Fully involved (total structure, vehicle, spreading outdoor fire)",2018-01-24T22:20:15,2018-01-24T22:24:41,Not applicable
458,Cooking Area or Kitchen,Not applicable (not a business),0,0,2500,0,2018-01-30T18:53:14,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operated,2018-01-30T18:53:13,"Stove, Range-top burner",112,6.0,2018-01-30T19:30:00,43.78174799,-79.44657822,"Cooking Oil, Grease",Fire self extinguished,Unattended,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,Fire with no evidence from street,2018-01-30T18:41:22,2018-01-30T18:48:10,Present
459,Cooking Area or Kitchen,No business interruption,0,0,3000,2,2018-01-30T10:02:43,Confined to part of room/area of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-01-30T10:02:43,Oven,113,17.0,2018-01-30T10:43:20,43.78541598,-79.35073337,Cabinetry,Extinguished by occupant,Unattended,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,Fire extinguished prior to arrival,2018-01-30T09:55:53,2018-01-30T10:01:20,Present
460,Attic Area,Not applicable (not a business),0,0,250000,5,2018-01-30T19:57:14,Confined to roof/exterior structure,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),2018-01-30T20:04:15,Circuit Wiring - Copper,231,24.0,2018-01-31T14:51:13,43.77589585,-79.22001576,Wood,Extinguished by fire department,Electrical Failure,Detached Dwelling,Remote from fire – smoke did not reach alarm,Battery operated,Fire with no evidence from street,2018-01-30T19:45:46,2018-01-30T19:52:37,Not applicable
461,Other - unclassified,Undetermined,0,0,5000,0,2018-01-31T00:10:00,Confined to object of origin,Undetermined,Fire alarm system operation undetermined,2018-01-31T00:45:00,Circuit Wiring - Copper,324,14.0,2018-01-31T01:11:19,43.667095,-79.34519556,Wood,Extinguished by fire department,Electrical Failure,"Apartment, Flat, Tenement with Business",Reason for inoperation undetermined,Hardwired (standalone),"Fire with smoke showing only - including vehicle, outdoor fires",2018-01-31T00:01:03,2018-01-31T00:05:51,Undetermined
462,Porch or Balcony,No business interruption,0,0,5000,4,2018-01-30T03:07:11,Confined to part of room/area of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-01-30T03:07:38,Undetermined,133,5.0,2018-01-30T04:08:02,43.70570665,-79.48738569,Multiple diverse objects ignited,Extinguished by fire department,"Unintentional, cause undetermined",Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,"Fire with smoke showing only - including vehicle, outdoor fires",2018-01-30T02:57:23,2018-01-30T03:01:35,Present
463,"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",Not applicable (not a business),0,0,0,0,2018-03-14T19:21:04,Confined to object of origin,Undetermined,Fire alarm system operated,2018-03-14T19:24:16,Undetermined,112,6.0,2018-03-14T19:51:27,43.7908118,-79.45303464,"Rubbish, Trash, Waste",Extinguished by fire department,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire with no evidence from street,2018-03-14T19:04:31,2018-03-14T19:09:44,Present
464,"Washroom or Bathroom (toilet,restroom/locker room)",Not applicable (not a business),0,0,1000,0,2018-03-15T19:46:00,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-03-15T19:51:20,Other Open Flame Tools/Smokers' Articles,311,12.0,2018-03-15T20:45:05,43.68614493,-79.40388319,"Rug, Carpet",Extinguished by fire department,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,"Fire with smoke showing only - including vehicle, outdoor fires",2018-03-15T19:37:57,2018-03-15T19:42:21,Present
465,"Lobby, Entranceway",No business interruption,0,0,1000000,997,2018-04-03T02:36:21,"Spread beyond building of origin, resulted in exposure fire(s)","Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-04-03T03:46:51,Undetermined,326,14.0,2018-04-03T20:09:22,43.66833236,-79.32018233,Floor,Extinguished by fire department,Undetermined,Semi-Detached Dwelling,Other reason,Not applicable - no smoke alarm or presence undetermined,"Flames showing from large area (more than one storey, large area outdoors)",2018-04-03T02:27:55,2018-04-03T02:34:17,Not applicable
466,"Washroom or Bathroom (toilet,restroom/locker room)",Undetermined,0,0,20000,1,2018-04-03T07:26:25,Spread to entire room of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-04-03T07:55:00,Circuit Wiring - Copper,225,20.0,2018-04-03T10:41:39,43.70877676,-79.24976917,Interior Wall/Ceiling,Extinguished by fire department,Electrical Failure,"Barber Shop, Hairdresser, Beauty Parlor, tanning salon",Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),"Fire with smoke showing only - including vehicle, outdoor fires",2018-04-03T07:19:19,2018-04-03T07:24:05,Not applicable
467,Cooking Area or Kitchen,Not applicable (not a business),0,0,8000,0,2018-04-03T14:46:04,Confined to object of origin,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),2018-04-03T14:46:05,"Stove, Range-top burner",135,12.0,2018-04-03T15:14:50,43.70234255,-79.41025779,Plastic,Extinguished by fire department,Used or Placed too close to combustibles,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,"Fire with smoke showing only - including vehicle, outdoor fires",2018-04-03T14:37:55,2018-04-03T14:42:02,Not applicable
468,"Living Area (e.g. living, TV, recreation, etc)",Undetermined,0,0,50000,1,2018-02-03T22:45:18,Spread to entire room of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-02-03T22:46:10,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",234,24.0,2018-02-04T03:50:29,43.7679299,-79.18837002,"Upholstered Sofa, Chair, etc.",Extinguished by fire department,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-02-03T22:27:19,2018-02-03T22:33:10,Present
469,"Living Area (e.g. living, TV, recreation, etc)",Undetermined,0,0,1000000,10,2018-02-04T05:15:57,"Spread beyond room of origin, same floor",Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-02-04T07:04:23,"Cord, Cable for Appliance, Electrical Articles",443,2.0,2018-02-04T09:35:04,43.6806115,-79.52381331,"Upholstered Sofa, Chair, etc.",Extinguished by fire department,"Other unintentional cause, not classified",Multi-Unit Dwelling - Over 12 Units,Reason for inoperation undetermined,Type undetermined,"Flames showing from large area (more than one storey, large area outdoors)",2018-02-04T05:04:23,2018-02-04T05:11:12,Present
470,Cooking Area or Kitchen,May resume operations within a week,0,0,200,0,2018-02-04T06:07:58,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,2018-02-04T06:07:58,Deep Fat Fryer,345,9.0,2018-02-04T06:35:08,43.66014528,-79.43411316,"Cooking Oil, Grease",Fire self extinguished,"Unintentional, cause undetermined",Restaurant (occupant load less than 30 persons),Reason for inoperation undetermined,Hardwired (standalone),Fire extinguished prior to arrival,2018-02-04T06:01:19,2018-02-04T06:06:14,Present
471,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",No business interruption,0,0,8000,6,2018-01-26T08:01:55,Confined to object of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-01-26T07:54:22,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",331,10.0,2018-01-26T12:50:20,43.64902361,-79.41665403,Bedding,Extinguished by automatic system,Improper handling of ignition source or ignited material,Other care facility,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),Fire extinguished prior to arrival,2018-01-26T07:50:04,2018-01-26T07:54:21,Present
472,"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",No business interruption,0,0,100000,0,2018-01-25T17:33:09,"Spread beyond room of origin, same floor",Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),2018-01-25T17:51:44,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",345,9.0,2018-01-25T22:30:08,43.6623591,-79.44441661,"Rubbish, Trash, Waste",Extinguished by fire department,Other misuse of ignition source/material ignited,Detached Garage,Other reason,Not applicable - no smoke alarm or presence undetermined,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-01-25T17:24:44,2018-01-25T17:28:25,No System
473,"Supply Storage Room (inc maintenance/office/document storage, et",May resume operations within a month,0,0,75000,11,2018-04-16T02:25:14,Spread to entire room of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,2018-04-16T02:35:55,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",324,14.0,2018-04-16T04:14:32,43.66616068,-79.35291107,"Upholstered Sofa, Chair, etc.",Extinguished by fire department,Improperly Discarded,Restaurant (occupant load less than 30 persons),Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2018-04-16T02:12:49,2018-04-16T02:17:54,Undetermined
474,Electrical Systems,Not applicable (not a business),0,0,10000,0,2018-04-16T06:35:00,Confined to object of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-04-16T06:35:00,Other,125,15.0,2018-04-16T06:46:22,43.72858945,-79.36498264,Other,Extinguished by fire department,Undetermined,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-04-16T06:19:59,2018-04-16T06:31:44,Not applicable
475,"Sales, Showroom Area",Undetermined,0,0,10000,1,2018-04-16T06:43:25,Confined to part of room/area of origin,Undetermined,Fire alarm system operation undetermined,2018-04-16T06:43:35,Other Lighting Equipment,114,18.0,2018-04-16T12:14:40,43.78936169,-79.41791999,Multiple Objects or Materials,Extinguished by fire department,Electrical Failure,Other Mercantile,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-04-16T06:35:47,2018-04-16T06:41:05,Present
476,Garage,No business interruption,1,0,5000,0,2018-04-17T00:27:00,Confined to object of origin,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),2018-04-17T00:28:17,Other Appliances,142,7.0,2018-04-17T01:36:49,43.75013462,-79.51139077,Gasoline,Extinguished by fire department,Improper handling of ignition source or ignited material,Garage:  General Auto Parking - Structure,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2018-04-17T00:20:03,2018-04-17T00:24:17,No System
477,"Living Area (e.g. living, TV, recreation, etc)",No business interruption,0,0,200,0,2018-04-17T16:10:51,Confined to object of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,2018-04-17T16:10:51,Candle,322,14.0,2018-04-17T17:24:33,43.69009271,-79.34536866,Other Furniture,Extinguished by occupant,"Other unintentional cause, not classified",Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,Fire with no evidence from street,2018-04-17T16:05:00,2018-04-17T16:08:12,Present
478,"Hallway, Corridor",Not applicable (not a business),0,0,0,0,2018-04-18T16:12:52,Confined to object of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-04-18T16:12:52,Undetermined,313,13.0,2018-04-18T16:30:46,43.66763494,-79.37220824,"Bush, Grass, Tree, Leaves, etc.",Fire self extinguished,Unattended,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire extinguished prior to arrival,2018-04-18T16:06:01,2018-04-18T16:09:51,Present
479,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),1,0,3000,3,2018-01-21T08:06:00,Confined to object of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-01-21T08:08:08,Candle,231,24.0,2018-01-21T12:04:10,43.75536595,-79.2210968,"Paper, Cardboard",Extinguished by fire department,Unattended,Detached/Semi/Attached with Accessory Apartment Below Grade,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,Fire with no evidence from street,2018-01-21T07:56:43,2018-01-21T08:02:07,No System
480,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),0,0,45000,50,2018-01-21T21:49:39,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-01-21T21:52:27,Matches or Lighters (unable to distinguish),245,21.0,2018-01-22T05:08:10,43.76942148,-79.28225757,"Mattress, Pillow",Extinguished by fire department,Suspected Arson,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2018-01-21T21:37:01,2018-01-21T21:41:54,Present
481,Attic Area,Not applicable (not a business),0,0,20000,3,2018-01-21T23:57:56,Confined to part of room/area of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-01-22T00:01:15,Circuit Wiring - Copper,221,21.0,2018-01-22T01:34:12,43.74156715,-79.261063,Insulation,Extinguished by fire department,Design/Construction/Installation/Maintenance Deficiency,"Attached Dwelling (eg. rowhouse, townhouse, etc.)","Separated from fire (e.g. wall, etc)",Battery operated,"Fire with smoke showing only - including vehicle, outdoor fires",2018-01-21T23:42:52,2018-01-21T23:47:48,Not applicable
482,"Living Area (e.g. living, TV, recreation, etc)",No business interruption,1,0,200,0,2018-01-22T16:54:07,Confined to object of origin,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),2018-01-22T16:56:06,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",423,4.0,2018-01-22T17:40:23,43.66556312,-79.47895795,Wearing Apparel on a Person,Extinguished by fire department,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - 2 to 6 Units,Dead battery,Battery operated,"Fire with smoke showing only - including vehicle, outdoor fires",2018-01-22T16:41:18,2018-01-22T16:43:48,Undetermined
483,Concealed Ceiling Area,May resume operations within a year,0,0,50000,0,2018-03-23T02:20:23,Confined to object of origin,Undetermined,Fire alarm system operation undetermined,2018-03-23T03:23:44,"Cord, Cable for Appliance, Electrical Articles",344,11.0,2018-03-23T18:06:07,43.6627783,-79.42205998,Interior Wall/Ceiling,Extinguished by fire department,Electrical Failure,"Restaurants (occupant load greater than 30 persons, licensed)",Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2018-03-23T02:06:58,2018-03-23T02:12:19,Undetermined
484,"Process Manufacturing (inc manf, prod assembly, repair)",May resume operations within a week,0,0,200000,0,2018-03-23T19:10:09,Confined to object of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,2018-03-23T19:15:53,Other Heating Equipment,146,7.0,2018-03-23T20:21:54,43.7242108,-79.52406924,Undetermined (formerly 98),Extinguished by fire department,Electrical Failure,"Mfg: Printing, Publishing (eg newspapers, magazines, books)",Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,Fire with no evidence from street,2018-03-23T18:59:03,2018-03-23T19:04:03,Present
485,Basement/cellar (not partitioned),Not applicable (not a business),0,0,5000,0,2018-02-09T15:53:06,Confined to object of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operated,2018-02-09T15:53:06,"Distribution Equipment (includes panel boards, fuses, circuit br",324,14.0,2018-02-09T16:15:04,43.66531797,-79.3491143,Other,Fire self extinguished,Electrical Failure,Semi-Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,Fire extinguished prior to arrival,2018-02-09T15:48:48,2018-02-09T15:52:06,Present
486,"Washroom or Bathroom (toilet,restroom/locker room)",No business interruption,0,0,1000,0,2018-02-09T19:25:56,Confined to object of origin,Undetermined,Not applicable (no system),2018-02-09T19:26:37,Undetermined,145,6.0,2018-02-09T19:39:13,43.73966244,-79.43967134,Plastic,Extinguished by fire department,Undetermined,Sanitary Services (includes plant),Remote from fire – smoke did not reach alarm,Not applicable - no smoke alarm or presence undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2018-02-09T19:16:49,2018-02-09T19:23:46,Undetermined
487,Cooking Area or Kitchen,Not applicable (not a business),1,0,8000,4,2018-02-09T19:32:00,Confined to object of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-02-09T19:32:00,"Stove, Range-top burner",223,20.0,2018-02-09T22:39:06,43.73593907,-79.22020414,"Cooking Oil, Grease",Extinguished by occupant,Unattended,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire extinguished prior to arrival,2018-02-09T19:19:07,2018-02-09T19:26:26,Present
488,Cooking Area or Kitchen,Not applicable (not a business),0,0,10,0,2018-02-10T13:01:55,Confined to object of origin,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-02-10T13:02:00,"Stove, Range-top burner",334,10.0,2018-02-10T13:11:05,43.63589674,-79.40198569,"Cooking Oil, Grease",Extinguished by occupant,"Other unintentional cause, not classified",Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire extinguished prior to arrival,2018-02-10T12:55:58,2018-02-10T12:59:01,Present
489,Cooking Area or Kitchen,Not applicable (not a business),0,0,15000,6,2018-02-10T22:07:14,Confined to part of room/area of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-02-10T22:17:22,Oven,213,25.0,2018-02-10T23:34:22,43.80117967,-79.21535727,Interior Wall/Ceiling,Extinguished by fire department,Electrical Failure,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2018-02-10T22:01:07,2018-02-10T22:07:00,Not applicable
490,Engine Area,No business interruption,0,0,50000,0,2018-02-12T11:45:00,Confined to object of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-02-12T11:59:50,Vehicle - Mechanical,313,14.0,2018-02-12T13:12:31,43.67880569,-79.35962271,Vehicle,Extinguished by fire department,"Unintentional, cause undetermined",Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-02-12T11:34:34,2018-02-12T11:40:45,Present
491,Attic Area,Not applicable (not a business),0,0,25000,5,2018-04-01T08:19:25,Confined to part of room/area of origin,Undetermined,Fire alarm system operation undetermined,2018-04-01T08:32:06,"Terminations-Copper (incl receptacles, switches, lights)",135,12.0,2018-04-01T09:41:37,43.69749657,-79.42656203,Insulation,Extinguished by fire department,Electrical Failure,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),Fire with no evidence from street,2018-04-01T08:08:55,2018-04-01T08:13:14,Undetermined
492,Cooking Area or Kitchen,Not applicable (not a business),0,0,15000,0,2018-04-01T11:25:00,Confined to part of room/area of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-04-01T11:22:18,"Stove, Range-top burner",345,9.0,2018-04-01T12:40:27,43.67429064,-79.43465079,"Cooking Oil, Grease",Extinguished by fire department,"Other unintentional cause, not classified",Semi-Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,"Fire with smoke showing only - including vehicle, outdoor fires",2018-04-01T11:17:21,2018-04-01T11:20:50,Not applicable
493,"Court, Patio, Terrace",Undetermined,0,0,1000,997,2018-04-02T20:22:56,Confined to part of room/area of origin,Undetermined,Fire alarm system operation undetermined,2018-04-02T20:23:56,Undetermined,132,8.0,2018-04-03T00:06:58,43.72354782,-79.44334258,"Rubbish, Trash, Waste",Extinguished by fire department,Undetermined,Semi-Detached Dwelling,Other reason,Not applicable - no smoke alarm or presence undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2018-04-02T20:11:59,2018-04-02T20:16:53,Undetermined
494,Cooking Area or Kitchen,Not applicable (not a business),0,0,100000,1,2018-04-02T16:18:00,"Spread beyond room of origin, same floor","Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-04-02T16:20:00,"Stove, Range-top burner",345,9.0,2018-04-02T17:32:44,43.66431058,-79.43051702,Undetermined (formerly 98),Extinguished by fire department,Improper handling of ignition source or ignited material,Semi-Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,"Fire with smoke showing only - including vehicle, outdoor fires",2018-04-02T16:05:48,2018-04-02T16:10:10,No System
495,Roof,Undetermined,0,0,50000,0,2018-04-22T05:43:45,Confined to roof/exterior structure,Undetermined,Fire alarm system operation undetermined,2018-04-22T05:44:00,Other Electrical Distribution Item,412,1.0,2018-04-22T08:31:51,43.75303665,-79.61952955,Other,Extinguished by fire department,Electrical Failure,Other Mercantile,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2018-04-22T05:19:21,2018-04-22T05:26:34,Undetermined
496,Other Storage Area,No business interruption,0,0,7500,0,2018-04-22T11:22:15,Spread beyond building of origin,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),2018-04-22T11:23:15,Candle,411,7.0,2018-04-22T12:03:03,43.72597608,-79.53567824,Undetermined (formerly 98),Extinguished by fire department,Unattended,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,Exposure involved,2018-04-22T11:13:41,2018-04-22T11:20:47,Not applicable
497,Exterior Wall,No business interruption,0,0,200,0,2018-04-22T15:10:00,Confined to object of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-04-22T15:32:00,Other Open Flame Tools/Smokers' Articles,426,4.0,2018-04-22T15:48:26,43.65355765,-79.45177805,Exterior Cladding,Extinguished by fire department,Improper handling of ignition source or ignited material,"Apartment, Flat, Tenement with Business",Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-04-22T15:01:36,2018-04-22T15:07:24,No System
498,"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",Not applicable (not a business),0,0,1,0,2018-04-22T15:24:00,Confined to object of origin,Undetermined,Fire alarm system operation undetermined,2018-04-22T15:31:00,Undetermined,146,7.0,2018-04-22T15:38:08,43.72477238,-79.51042617,"Rubbish, Trash, Waste",Extinguished by fire department,Undetermined,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-04-22T15:12:16,2018-04-22T15:21:11,Undetermined
499,"Sales, Showroom Area",May resume operations within a week,0,0,20000,0,2018-04-22T16:15:10,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,2018-04-22T16:18:24,Lighters (open flame),146,7.0,2018-04-22T18:49:15,43.72477238,-79.51042617,"Paper, Cardboard",Extinguished by fire department,Suspected Youth Vandalism (Ages 12 to 17),Big Box Store,Remote from fire – smoke did not reach alarm,Interconnected,Fire with no evidence from street,2018-04-22T16:08:39,2018-04-22T16:11:50,Present
500,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),0,0,20,0,2018-04-22T17:38:15,Confined to object of origin,Undetermined,Fire alarm system operation undetermined,2018-04-22T17:39:05,Other,423,4.0,2018-04-22T18:16:36,43.6665815,-79.46505777,"Mattress, Pillow",Extinguished by fire department,"Other unintentional cause, not classified","Apartment, Flat, Tenement with Business",Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),Fire with no evidence from street,2018-04-22T17:33:50,2018-04-22T17:36:47,Undetermined
501,Cooking Area or Kitchen,Not applicable (not a business),0,0,1500,0,2018-02-27T12:31:00,Confined to part of room/area of origin,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operation undetermined,2018-02-27T12:31:00,"Stove, Range-top burner",125,16.0,2018-02-27T12:51:11,43.71075277,-79.33123581,"Cooking Oil, Grease",Extinguished by occupant,Unattended,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,Fire extinguished prior to arrival,2018-02-27T12:24:59,2018-02-27T12:30:53,Present
